iter	RMSE
0	0.7550137637
1	0.7457628392
2	0.7376591992
3	0.7300558473
4	0.7230046072
5	0.7162765256
6	0.7100013419
7	0.7045604232
8	0.6988435035
9	0.6938774679
10	0.6889524104
11	0.6844569849
12	0.680732731
13	0.6767152487
14	0.6728945497
15	0.6696477783
16	0.6662774268
17	0.6632987134
18	0.6604284613
19	0.6575345984
20	0.6550427529
21	0.6523331819
22	0.6499333323
23	0.6475424444
24	0.6453467143
25	0.6433871814
26	0.641327828
27	0.6395020894
28	0.6376066367
29	0.6360053896
30	0.6344083552
31	0.6326496667
32	0.6311774693
33	0.6297049605
34	0.6283875333
35	0.6267776643
36	0.6255625855
37	0.6242180131
38	0.6230960868
39	0.6222325194
40	0.6209550422
41	0.6196698319
42	0.6185035459
43	0.6173966181
44	0.6164741874
45	0.6150105337
46	0.6138084552
47	0.6128718382
48	0.6115968212
49	0.6108084286
50	0.610141588
51	0.6092998934
52	0.6081463332
53	0.6072002232
54	0.605958503
55	0.6050711117
56	0.604161927
57	0.6033364644
58	0.6026528616
59	0.6020573387
60	0.6011587995
61	0.6003271602
62	0.5994594658
63	0.5986919298
64	0.5978586789
65	0.5972561992
66	0.5965356801
67	0.5959354364
68	0.5953257458
69	0.5946932724
70	0.5941241542
71	0.5936292483
72	0.5927941874
73	0.5921846357
74	0.5916258137
75	0.5910206548
76	0.5903167722
77	0.5898954273
78	0.5894107552
79	0.5890112195
80	0.58834639
81	0.5877303091
82	0.5872892289
83	0.5868525697
84	0.5863809352
85	0.58603645
86	0.5857203501
87	0.5853977311
88	0.5848858104
89	0.5845122426
90	0.5839784922
91	0.5836571706
92	0.5832357011
93	0.5825341193
94	0.5819755179
95	0.5815175103
96	0.5811609886
97	0.5807228738
98	0.58041799
99	0.5801583132
100	0.5798201818
101	0.5792352888
102	0.5786974909
103	0.5782467627
104	0.577665598
105	0.5771846315
106	0.5767003697
107	0.5764143306
108	0.5760129753
109	0.5756915106
110	0.5751744052
111	0.5747660809
112	0.5743514584
113	0.573959577
114	0.5735223503
115	0.5730698177
116	0.5727468351
117	0.5722424458
118	0.5718405725
119	0.5714961944
120	0.5710915626
121	0.5707723577
122	0.5704224375
123	0.5700557346
124	0.5695869541
125	0.5693142526
126	0.5689560344
127	0.5686565778
128	0.5681933765
129	0.5677530639
130	0.5673949577
131	0.5670381302
132	0.5666560739
133	0.5664059049
134	0.5661418611
135	0.5659072353
136	0.5654247489
137	0.5650528747
138	0.5648677319
139	0.5645871298
140	0.5642930983
141	0.5639215894
142	0.5635385534
143	0.5631944828
144	0.5628702366
145	0.5624918952
146	0.5621129534
147	0.5618623636
148	0.5613953584
149	0.5609286264
150	0.5605719778
151	0.5602431745
152	0.559841539
153	0.5595318563
154	0.5592160946
155	0.5589438902
156	0.5584423294
157	0.5580627226
158	0.5577874652
159	0.5574879679
160	0.5572452528
161	0.5569511726
162	0.5566409216
163	0.556285425
164	0.5559608709
165	0.5554498666
166	0.5551127453
167	0.5548300949
168	0.5544649835
169	0.5539592289
170	0.5535611999
171	0.5532800303
172	0.5530369907
173	0.5527594686
174	0.5525265942
175	0.5522133942
176	0.5518341893
177	0.5515473378
178	0.551295961
179	0.5509380154
180	0.5506583892
181	0.5504438393
182	0.55016794
183	0.5499163196
184	0.5497200826
185	0.5494564452
186	0.5491479936
187	0.5486580417
188	0.5483388556
189	0.5478810359
190	0.5476631713
191	0.5473534355
192	0.5470656549
193	0.5468588318
194	0.5465993678
195	0.5461520209
196	0.5457044866
197	0.5453447333
198	0.54510151
199	0.5447050305
200	0.5442966198
201	0.5440718373
202	0.5437744145
203	0.5435111932
204	0.5432851003
205	0.5430966525
206	0.5427907867
207	0.5425969665
208	0.542372961
209	0.5419849425
210	0.5416506539
211	0.5412217116
212	0.5408094987
213	0.540522471
214	0.5402446295
215	0.5399824406
216	0.5397279953
217	0.539290974
218	0.5390505748
219	0.5388026983
220	0.5384448273
221	0.5382259065
222	0.5379246009
223	0.5376371474
224	0.5374105264
225	0.5371332179
226	0.5369282076
227	0.5366409817
228	0.5363700631
229	0.5359399023
230	0.5355820956
231	0.5351846836
232	0.5349272235
233	0.5346607362
234	0.5343888263
