iter	Passed	Remaining
0	215	215338
1	346	172667
2	510	169666
3	631	157363
4	823	163808
5	958	158756
6	1130	160423
7	1254	155588
8	1379	151921
9	1498	148373
10	1642	147664
11	1825	150334
12	1993	151343
13	2233	157300
14	2412	158409
15	2535	155954
16	2666	154212
17	2805	153053
18	2929	151270
19	3076	150766
20	3195	148972
21	3311	147200
22	3435	145929
23	3553	144504
24	3673	143261
25	3785	141798
26	3903	140674
27	4019	139525
28	4132	138360
29	4250	137421
30	4378	136851
31	4492	135888
32	4607	135014
33	4731	134443
34	4846	133624
35	4959	132810
36	5070	131973
37	5187	131317
38	5300	130601
39	5413	129915
40	5525	129237
41	5642	128699
42	5755	128096
43	5870	127558
44	5986	127047
45	6104	126600
46	6219	126114
47	6344	125839
48	6460	125379
49	6571	124867
50	6685	124399
51	6796	123899
52	6913	123526
53	7029	123148
54	7158	122997
55	7281	122740
56	7399	122412
57	7512	122015
58	7626	121642
59	7746	121358
60	7884	121375
61	8150	123308
62	8548	127135
63	8846	129375
64	9107	131009
65	9399	133016
66	9651	134397
67	9863	135187
68	10051	135619
69	10215	135721
70	10374	135750
71	10556	136062
72	10822	137429
73	10966	137228
74	11166	137718
75	11390	138485
76	11606	139122
77	11734	138701
78	11905	138801
79	12205	140366
80	12422	140939
81	12743	142666
82	12944	143008
83	13229	144262
84	13573	146112
85	13795	146617
86	14021	147141
87	14232	147505
88	14466	148079
89	14597	147598
90	14760	147442
91	14928	147341
92	15080	147072
93	15248	146968
94	15440	147089
95	15632	147203
96	15884	147869
97	16067	147891
98	16275	148123
99	16444	147997
100	16707	148715
101	16923	148993
102	17095	148879
103	17367	149625
104	17611	150114
105	17814	150249
106	18078	150879
107	18386	151859
108	18650	152455
109	18894	152871
110	19280	154420
111	19601	155414
112	19985	156879
113	20213	157100
114	20469	157528
115	20693	157699
116	21041	158798
117	21325	159395
118	21552	159564
119	21788	159784
120	22137	160816
121	22448	161556
122	22656	161542
123	22880	161640
124	23072	161508
125	23229	161130
126	23415	160958
127	23600	160777
128	23795	160667
129	23979	160478
130	24183	160423
131	24423	160602
132	24635	160593
133	24915	161018
134	25306	162152
135	25698	163263
136	26079	164279
137	26406	164946
138	26698	165376
139	26878	165112
140	27013	164572
141	27182	164241
142	27382	164104
143	27616	164166
144	27789	163863
145	27960	163551
146	28170	163468
147	28381	163386
148	28553	163083
149	28730	162806
150	28993	163013
151	29237	163112
152	29501	163316
153	29739	163374
154	29841	162682
155	29981	162206
156	30301	162699
157	30570	162914
158	30745	162624
159	30992	162709
160	31227	162734
161	31480	162844
162	31843	163516
163	32131	163794
164	32287	163394
165	32559	163582
166	32887	164041
167	33131	164077
168	33423	164347
169	33713	164599
170	34013	164893
171	34247	164864
172	34466	164762
173	34734	164887
174	35018	165086
175	35322	165371
176	35606	165558
177	35878	165684
178	36109	165619
179	36357	165628
180	36613	165672
181	36796	165383
182	36997	165172
183	37249	165194
184	37532	165347
185	37785	165360
186	38076	165541
187	38341	165600
188	38561	165465
189	38876	165735
190	39152	165832
191	39407	165841
192	39620	165667
193	39883	165702
194	40087	165491
195	40363	165574
196	40539	165245
197	40719	164934
198	40973	164921
199	41207	164828
200	41479	164884
201	41726	164841
202	41938	164655
203	42126	164375
204	42303	164055
205	42462	163665
206	42641	163354
207	42815	163030
208	43011	162783
209	43225	162608
210	43490	162624
211	43722	162514
212	43965	162446
213	44166	162217
214	44477	162394
215	44777	162524
216	45036	162506
217	45300	162500
218	45492	162236
219	45756	162228
220	46064	162371
221	46302	162266
222	46567	162254
223	46788	162087
224	47008	161918
225	47240	161789
226	47505	161771
227	47707	161535
228	47957	161463
229	48203	161376
230	48451	161294
231	48656	161068
232	48854	160820
233	49110	160764
234	49411	160850
235	49644	160715
236	49922	160721
237	50174	160642
238	50458	160663
239	50654	160406
240	50864	160192
241	51146	160201
242	51409	160153
243	51644	160014
244	51842	159759
245	52061	159572
246	52310	159473
247	52565	159391
248	52821	159312
249	53089	159267
250	53435	159453
251	53594	159080
252	53818	158903
253	54156	159057
254	54292	158618
255	54513	158428
256	54796	158418
257	55063	158361
258	55283	158166
259	55452	157827
260	55691	157685
261	55960	157630
262	56223	157553
263	56447	157367
264	56724	157330
265	57046	157414
266	57301	157311
267	57554	157201
268	57820	157125
269	58090	157059
270	58383	157053
271	58626	156911
272	58799	156583
273	58994	156312
274	59229	156150
275	59462	155980
276	59678	155766
277	60005	155840
278	60321	155884
279	60549	155698
280	60749	155440
281	60898	155053
282	61026	154614
283	61152	154173
284	61283	153745
285	61438	153381
286	61575	152973
287	61752	152665
288	61952	152415
289	62078	151985
290	62206	151562
291	62333	151136
292	62463	150721
293	62588	150298
294	62831	150156
295	63039	149932
296	63188	149566
297	63420	149398
298	63723	149397
299	64017	149373
300	64206	149103
301	64337	148699
302	64465	148291
303	64588	147872
304	64711	147457
305	64886	147160
306	65190	147155
307	65476	147108
308	65723	146974
309	65853	146578
310	66113	146470
311	66369	146352
312	66617	146218
313	66869	146091
314	67084	145883
315	67325	145728
316	67549	145539
317	67676	145141
318	67805	144750
319	67976	144449
320	68176	144211
321	68283	143776
322	68430	143427
323	68616	143162
324	68784	142860
325	69055	142771
326	69395	142823
327	69579	142552
328	69791	142340
329	70019	142160
330	70367	142222
331	70643	142138
332	70926	142066
333	71146	141867
334	71415	141765
335	71638	141571
336	71866	141387
337	72190	141390
338	72541	141446
339	72782	141283
340	73099	141269
341	73326	141078
342	73619	141013
343	73868	140865
344	74141	140760
345	74389	140609
346	74681	140538
347	74960	140443
348	75168	140214
349	75407	140042
350	75605	139794
351	75825	139587
352	76031	139354
353	76288	139215
354	76463	138925
355	76647	138655
356	76864	138441
357	77097	138258
358	77283	137991
359	77466	137718
360	77781	137679
361	77987	137447
362	78195	137218
363	78430	137038
364	78606	136754
365	78802	136505
366	79053	136350
367	79242	136090
368	79522	135986
369	79834	135933
370	80038	135698
371	80209	135408
372	80365	135092
373	80512	134760
374	80637	134396
375	80821	134129
376	81049	133935
377	81189	133597
378	81361	133312
379	81521	133007
380	81713	132757
381	81892	132486
382	82052	132184
383	82149	131781
384	82330	131515
385	82556	131320
386	82788	131134
387	83128	131120
388	83348	130914
389	83492	130591
390	83644	130279
391	83788	129958
392	83960	129679
393	84076	129315
394	84242	129029
395	84547	128955
396	84831	128849
397	85178	128838
398	85363	128579
399	85634	128451
400	85888	128297
401	86049	128004
402	86207	127706
403	86402	127464
404	86545	127147
405	86790	126979
406	87125	126942
407	87465	126910
408	87689	126710
409	87854	126424
410	88081	126228
411	88369	126119
412	88632	125974
413	88821	125723
414	88996	125453
415	89172	125184
416	89344	124911
417	89536	124665
418	89796	124514
419	90072	124385
420	90392	124316
421	90700	124229
422	90936	124043
423	91227	123932
424	91491	123782
425	91683	123535
426	91911	123337
427	92071	123048
428	92267	122807
429	92458	122561
430	92598	122247
431	92783	121992
432	92978	121752
433	93163	121498
434	93382	121290
435	93590	121066
436	93814	120863
437	94025	120645
438	94273	120472
439	94497	120269
440	94667	119997
441	94861	119757
442	95118	119595
443	95308	119350
444	95552	119172
445	95809	119009
446	96029	118801
447	96212	118547
448	96330	118213
449	96456	117891
450	96592	117581
451	96706	117245
452	96832	116925
453	96993	116648
454	97109	116318
455	97222	115984
456	97339	115657
457	97449	115321
458	97569	115000
459	97680	114668
460	97792	114339
461	97903	114008
462	98068	113742
463	98310	113566
464	98428	113245
465	98591	112977
466	98747	112703
467	98883	112406
468	99026	112117
469	99154	111813
470	99292	111519
471	99449	111249
472	99575	110943
473	99717	110657
474	99918	110436
475	100056	110145
476	100194	109856
477	100337	109573
478	100559	109376
479	100720	109113
480	100905	108876
481	101168	108724
482	101432	108572
483	101696	108420
484	101900	108203
485	102084	107965
486	102252	107711
487	102435	107473
488	102581	107196
489	102691	106883
490	102859	106630
491	103007	106357
492	103219	106150
493	103407	105919
494	103606	105699
495	103837	105511
496	103978	105233
497	104161	104998
498	104410	104829
499	104742	104742
500	105086	104666
